#,Frases,Tipo,Resposta,Ação a ser Realizada,Ações Necessárias
8,Que?? A tv não deixa eu te ouvir!,Implicito,Deseja diminuir o volume?,Diminuir Volume,Diminuir Volume
9,Que escuridão,Implícito,Deseja acender a lâmpada?,Acender a Lâmpada,Mudar Canal
10,Ta claro demais para dormir,Implicito,Deseja apagar a lâmpada?,Apagar Lâmpada,
11,A ventilação aqui esta horrível,Implicito,Deseja ligar o ventilador?,Ligar Ventilador,
12,Esse canal não esta legal,Implícito,Deseja mudar de canal?,Mudar Canal,
13,To enxergando nada,Implícito,Deseja acender a lâmpada?,Acender a Lâmpada,
14,Que friiiiio!!!,Implícito,Deseja desligar o ventilador?,Desligar Ventilador,
15,"Bom, vou ir dormir!",Implícito,Deseja apagar a lâmpada?,Apagar Lâmpada,
16,Esse programa é chato.,Implicito,Deseja mudar de canal?,Mudar Canal,
17,Cansei de tv por hoje!,Implícito,Deseja desligar a televisão?,Desligar Televisão,
18,Vou assistir tv agora!,Explícito,Ligando a televisão.,Ligar Televisão,
19,Preciso abaixar o volume,Explícito,Diminuindo o volume.,Diminuir Volume,
20,Preciso aumentar o volume,Explícito,Aumentando o volume.,Aumentar Volume,
21,Preciso dar uma refrescada,Implícito,Deseja ligar o ventilador?,Ligar Ventilador,
22,Troca de canal,Explícito,Mudando de canal.,Mudar Canal,
23,Propagando péssima,Implícito,Deseja mudar de canal?,Mudar Canal,
24,Esta muito abafado aqui,Implícito,Deseja ligar o ventilador?,Ligar Ventilador,
25,O volume esta alto,Implícito,Deseja diminuir o volume?,Diminuir Volume,
26,Estou derretendo de calor,Implícito,Deseja ligar o ventilador?,Ligar Ventilador,
27,Quero assistir um filme,Implicito,Deseja ligar a televisão?,Ligar Televisão,
1,Tá mó escuro aqui,Implicito,Deseja acender a lâmpada?,Acender a Lâmpada,Acender a Lâmpada
2,Não to enxergando nada,Implicito,Deseja acender a lâmpada?,Acender a Lâmpada,Apagar Lâmpada
3,Acende a luz ai,Explícito,Acendendo a lâmpada.,Acender a Lâmpada,Ligar Ventilador
4,Apaga a luz ai,Explícito,Apagando a lâmpada.,Apagar Lâmpada,Desligar Ventilador
5,Tá mó claro aqui,Implicito,Deseja apagar a lâmpada?,Apagar Lâmpada,Ligar Televisão
6,Não consigo dormir de luz acessa,Implicito,Deseja apagar a lâmpada?,Apagar Lâmpada,Desligar Televisão
7,Tá mó calor aqui,Implicito,Deseja ligar o ventilador?,Ligar Ventilador,Aumentar Volume
8,To suando de tanto calor,Implicito,Deseja ligar o ventilador?,Ligar Ventilador,Diminuir Volume
9,Liga o ventilador ai,Explícito,Ligando o ventilador.,Ligar Ventilador,Mudar Canal
10,Tá meio frio ,Implicito,Deseja desligar o ventilador?,Desligar Ventilador,
11,Tá ventando demais,Implicito,Deseja desligar o ventilador?,Desligar Ventilador,
12,Desliga o ventilador ai,Explícito,Desligando o ventilador.,Desligar Ventilador,
13,To afim de assistir televisão,Implícito,Deseja ligar a televisão?,Ligar Televisão,
14,Bora ligar a tv,Explícito,Ligando a televisão.,Ligar Televisão,
15,Liga a televisão ai,Explícito,Ligando a televisão.,Ligar Televisão,
16,Não consigo estudar com a televisão ligada,Implicito,Deseja desligar a televisão?,Desligar Televisão,
17,A tv ta ligada atoa,Implícito,Deseja desligar a televisão?,Desligar Televisão,
18,Alguém desliga essa televisão,Explícito,Desligando a televisão.,Desligar Televisão,
19,Não to escutando nada,Implicito,Deseja aumentar o volume?,Aumentar Volume,
20,Esse volume tá muito baixo,Explícito,Aumentando o volume.,Aumentar Volume,
21,Aumenta a tv ai,Explícito,Aumentando o volume.,Aumentar Volume,
22,Essa televisão ta muito alta,Explícito,Diminuindo o volume.,Diminuir Volume,
23,"Vou atender o telefone, diminui o volume ai",Explícito,Diminuindo o volume.,Diminuir Volume,
24,Esse barulho tá me incomodando,Implícito,Deseja diminuir o volume?,Diminuir Volume,
25,Eu não gosto desse programa,Implicito,Deseja mudar de canal?,Mudar Canal,
26,"O jogo vai começar agora, muda o canal ai",Explícito,Mudando de canal.,Mudar Canal,
27,Não gosto desse canal,Implicito,Deseja mudar de canal?,Mudar Canal,
